id,type,latitude,longitude,streetName,slots
65,BIKE,41.387678,2.169587,Pl. Catalunya,17
68,BIKE,41.395364,2.157356,Rambla Catalunya,18
69,BIKE,41.386814,2.195689,Avda. Litoral,25
70,BIKE,41.380347,2.160695,Comte Urgell,10
71,BIKE,41.381931,2.162969,Floridablanca,8
76,BIKE,41.391751,2.153123,Còrsega,18
78,BIKE,41.385598,2.16338,Pl. Universitat,3
80,BIKE,41.389687,2.159999,Enric Granados,16
81,BIKE,41.378915,2.149174,Vilamarí davant,4
86,BIKE,41.37544,2.163,Viladomat,19
88,BIKE,41.393547,2.150764,Londres,10
89,BIKE,41.387953,2.150169,Rosselló,18
93,BIKE,41.375454,2.149786,Gran Via,15
94,BIKE,41.375619,2.149889,Gran Via,20
95,BIKE,41.376428,2.147734,Tarragona,7
98,BIKE,41.380499,2.141153,Viriat,17
99,BIKE,41.380632,2.141548,Viriat,9
106,BIKE,41.405587,2.162317,Pl. Joanic,15
108,BIKE,41.402314,2.164961,Indústria,17
111,BIKE,41.381231,2.152755,Calabria,16
112,BIKE,41.377644,2.15725,Floridablanca,6
115,BIKE,41.38377,2.18424,Marqués d'Argentera,0
116,BIKE,41.383718,2.191414,Salvat Papasseit,18
117,BIKE,41.390666,2.197024,Rosa Sensat,2
118,BIKE,41.392212,2.187847,Sardenya,4
119,BIKE,41.396684,2.182447,Sardenya,8
121,BIKE,41.406293,2.178689,Castillejos,8
124,BIKE,41.370297,2.187808,Passeig Joan de Borbó,23
128,BIKE,41.415581,2.19581,Rambla Guipúscoa,9
129,BIKE,41.37709,2.16124,Manso,4
130,BIKE,41.419905,2.201573,Rambla Guipúscoa,0
139,BIKE,41.418035,2.206023,Gran Vía,21
141,BIKE,41.40902,2.194896,Gran Via,19
145,BIKE,41.40982,2.202904,Pere IV,20
152,BIKE,41.39925,2.197421,Pujades,13
154,BIKE,41.402454,2.201656,Pujades,13
157,BIKE,41.412947,2.217819,C/ LLULL - RBLA. PRIM,18
158,BIKE,41.411741,2.218546,Rambla de Prim,10
162,BIKE,41.403908,2.208436,Ramon Turro,20
169,BIKE,41.389896,2.200055,Avda. Litoral,0
170,BIKE,41.389732,2.199934,Avda. Litoral,0
171,BIKE,41.391986,2.203699,Passeig Marítim de la Nova Icària,8
172,BIKE,41.391831,2.203436,Passeig Marítim de la Nova Icària,3
175,BIKE,41.40666,2.20956,Llull / Provençals,10
177,BIKE,41.411089,2.181119,Rosselló,15
180,BIKE,41.36778,2.13926,Gran Via,8
183,BIKE,41.372338,2.141875,Gavà,7
185,BIKE,41.37046,2.138994,Gavà,12
189,BIKE,41.396918,2.166163,Bruc,22
190,BIKE,41.39606,2.207803,Avinguda Litoral,16
194,BIKE,41.381013,2.132319,Joan Güell,24
199,BIKE,41.38182,2.126933,Mejía Lequerica,26
201,BIKE,41.387787,2.134341,Numància,27
203,BIKE,41.388742,2.128503,Avda. Diagonal,12
205,BIKE,41.387465,2.130838,Europa,29
206,BIKE,41.389845,2.13284,Avda. Diagonal,25
209,BIKE,41.385755,2.161004,Diputació,13
214,BIKE,41.395251,2.133541,José de Agulló,20
218,BIKE,41.404114,2.183203,Consell de Cent,14
221,BIKE,41.402535,2.152519,Gran de Gràcia,19
223,BIKE,41.398311,2.159865,Carrer de Bonavista,31
224,BIKE,41.399945,2.164389,Girona,15
225,BIKE,41.38482,2.15057,Mallorca,24
226,BIKE,41.403465,2.161096,Montmany,18
230,BIKE,41.405986,2.151633,C. De Nil Fabra,25
231,BIKE,41.407202,2.163476,Pi i Margall,14
236,BIKE,41.375127,2.152769,Avinguda Paral.lel,16
239,BIKE,41.417323,2.184534,Indústria,4
246,BIKE,41.422844,2.186637,Garcilaso,13
248,BIKE,41.418208,2.190374,Palència,22
249,BIKE,41.425216,2.188997,Açores,7
253,BIKE,41.429977,2.191821,Onze de Setembre,22
254,BIKE,41.429985,2.190163,Gran de Sant Andreu,14
255,BIKE,41.431183,2.185852,Irlanda,15
256,BIKE,41.435998,2.189524,Malats,8
260,BIKE,41.43618,2.192952,Plaça de l'Estació,1
261,BIKE,41.382206,2.160644,Villarroel,26
262,BIKE,41.379821,2.152496,Rocafort,29
263,BIKE,41.437814,2.191039,Pg.Torras i Bages,3
265,BIKE,41.385397,2.158743,Casanovas,16
266,BIKE,41.426841,2.184238,Concepció Arenal,20
275,BIKE,41.430693,2.182225,Rio de Janeiro,24
279,BIKE,41.415951,2.174564,Mas Casanovas,18
288,BIKE,41.429636,2.174487,Pl. Virrei Amat,22
297,BIKE,41.438864,2.176822,Carrer Turó Blau,15
303,BIKE,41.393341,2.115076,Cavallers,21
306,BIKE,41.385465,2.122912,Doctor Salvador Cardenal,15
311,BIKE,41.378638,2.120393,Gallego-Arístides Maillol,14
321,BIKE,41.403054,2.144549,Carrer de Sant Hermenegild,22
323,BIKE,41.397996,2.138717,Vallmajor,7
324,BIKE,41.396938,2.136258,Reina Victoria,23
329,BIKE,41.402879,2.128541,Carrer de les Escoles Pies,13
331,BIKE,41.39706,2.12801,Castellnou,5
334,BIKE,41.400722,2.123268,Via Augusta,26
338,BIKE,41.397572,2.119506,Avinguda de J.Foix,18
342,BIKE,41.403502,2.193702,Roc Boronat,24
345,BIKE,41.363093,2.139771,Pl. Teresa de Claramunt,24
350,BIKE,41.391833,2.14812,Villarroel,16
353,BIKE,41.375414,2.123191,Munné,17
354,BIKE,41.37592,2.13008,Rambla del Brasil,9
359,BIKE,41.390021,2.177572,Méndez Núñez,4
362,BIKE,41.397006,2.17057,Bailén,29
365,BIKE,41.387499,2.14702,Viladomat,27
368,BIKE,41.396815,2.175714,Diputació,7
369,BIKE,41.400168,2.177948,Consell de Cent,2
370,BIKE,41.403735,2.172987,Sardenya,26
372,BIKE,41.400167,2.184362,Ribes,17
375,BIKE,41.372154,2.180701,World Trade Center,17
376,BIKE,41.371663,2.180302,World Trade Center,21
378,BIKE,41.378516,2.176716,Pl.Joaquim Xira i Palau,11
379,BIKE,41.381709,2.177308,Pl. Sant Miquel,8
382,BIKE,41.403938,2.204188,Lope de Vega,19
384,BIKE,41.380708,2.146793,Vilamarí,11
385,BIKE,41.387978,2.155266,Casanova,23
386,BIKE,41.375086,2.156848,Av.Paral.lel,15
387,BIKE,41.395796,2.178784,Nàpols,8
389,BIKE,41.38739,2.1875,Recinte Parc de la Ciutadella,17
390,BIKE,41.386955,2.18195,Comerç,11
394,BIKE,41.38733,2.16305,Diputació,12
398,BIKE,41.381011,2.193502,Passeig Marítim de la Barceloneta,5
407,BIKE,41.388471,2.192835,Ramon Trias Fargas,9
410,BIKE,41.376433,2.17871,"Passeig de Colom, s/n",28
412,BIKE,41.389012,2.172667,Pl. Urquinaona,13
418,BIKE,41.390943,2.180251,Passeig de Lluís Companys,21
419,BIKE,41.391299,2.180828,Passeig de Lluís Companys,22
421,BIKE,41.377845,2.13923,Plaça de Joan Peiró,18
423,BIKE,41.420201,2.189532,Carrer d'Hondures,18
